age	unit	sex	geo\time	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL	PC_ACT	T	JP	4.4	4.1	3.8	4.0	5.1	5.0	4.6b	4.3	4.0	3.6	3.4	3.1
TOTAL	PC_ACT	T	LT	8.3	5.8	4.3	5.8	13.8	17.8	15.4	13.4	11.8	10.7	9.1	7.9
TOTAL	PC_ACT	T	LU	4.6	4.6i	4.2	4.9	5.1	4.6	4.8	5.1	5.9	6.0	6.5	6.3
TOTAL	PC_ACT	T	LV	10.0	7.0	6.1	7.7	17.5	19.5	16.2	15.0	11.9	10.8	9.9	9.6
TOTAL	PC_ACT	T	MT	6.9	6.8	6.5	6.0	6.9	6.9	6.4	6.3	6.4	5.8	5.4	4.7
TOTAL	PC_ACT	T	NL	5.9	5.0	4.2	3.7	4.4	5.0	5.0	5.8	7.3	7.4	6.9	6.0
TOTAL	PC_ACT	T	NO	4.5	3.4b	2.5	2.5	3.2	3.6	3.3	3.2	3.5	3.5	4.4	4.7
TOTAL	PC_ACT	T	PL	17.9	13.9	9.6	7.1	8.1i	9.7	9.7	10.1	10.3	9.0	7.5	6.2
TOTAL	PC_ACT	T	PT	8.8	8.9	9.1	8.8	10.7	12.0	12.9	15.8	16.4	14.1	12.6	11.2
TOTAL	PC_ACT	T	RO	7.1	7.2	6.4	5.6	6.5	7.0	7.2	6.8	7.1	6.8	6.8	5.9
TOTAL	PC_ACT	T	SE	7.7	7.1	6.1	6.2	8.3	8.6	7.8	8.0	8.0	7.9	7.4	6.9
TOTAL	PC_ACT	T	SI	6.5	6.0	4.9	4.4	5.9	7.3	8.2	8.9	10.1	9.7	9.0	8.0
TOTAL	PC_ACT	T	SK	16.4	13.5	11.2	9.6	12.1	14.5	13.7i	14.0	14.2	13.2	11.5	9.7
TOTAL	PC_ACT	T	TR	9.5	9.0	9.1b	10.0	13.0	11.1	9.1	8.4	9.0	9.9	10.3	10.9
TOTAL	PC_ACT	T	UK	4.8	5.4	5.3	5.6	7.6	7.8	8.1	7.9	7.5	6.1	5.3	4.8
TOTAL	PC_ACT	T	US	5.1	4.6	4.6	5.8	9.3	9.6	8.9	8.1	7.4	6.2	5.3	4.9
